valid_time,wind_speed,t2m_c,sshf,net_radiation,e,number,expver
1981-01-01 00:00:00,4.112326,24.510962,,,,0,0001
1981-01-01 06:00:00,4.1095324,24.515394,-1.603923e+06,5.465863e+07,-0.0041189613,0,0001
1981-02-01 00:00:00,3.7658846,25.060652,-1.6863696e+06,5.607398e+07,-0.0037907786,0,0001
1981-02-01 06:00:00,3.7590826,25.07037,-1.6870399e+06,5.608549e+07,-0.0037881103,0,0001
1981-03-01 00:00:00,3.004049,26.149076,-1.6670958e+06,5.710694e+07,-0.0033107018,0,0001
1981-03-01 06:00:00,3.0037456,26.155382,-1.6669161e+06,5.7116144e+07,-0.0033064007,0,0001
1981-04-01 00:00:00,2.966411,26.930958,-1.7732496e+06,5.6512236e+07,-0.0036504257,0,0001
1981-04-01 06:00:00,2.974709,26.931063,-1.7741141e+06,5.650733e+07,-0.0036532227,0,0001
1981-05-01 00:00:00,3.962159,26.943592,-1.8103101e+06,5.4856956e+07,-0.0039770477,0,0001
1981-05-01 06:00:00,3.9773765,26.938585,-1.8106142e+06,5.484309e+07,-0.003979769,0,0001
1981-06-01 00:00:00,5.8491206,26.322813,-1.6523682e+06,5.283037e+07,-0.004740692,0,0001
1981-06-01 06:00:00,5.850465,26.317484,-1.6510818e+06,5.2814004e+07,-0.0047468785,0,0001
1981-07-01 00:00:00,6.010427,25.683395,-1.3462075e+06,5.231554e+07,-0.0044126427,0,0001
1981-07-01 06:00:00,6.012296,25.681087,-1.3436455e+06,5.231135e+07,-0.004409834,0,0001
1981-08-01 00:00:00,6.2421904,25.397163,-1.2914952e+06,5.3445896e+07,-0.004292457,0,0001
1981-08-01 06:00:00,6.232564,25.396317,-1.2910712e+06,5.345512e+07,-0.0042915028,0,0001
1981-09-01 00:00:00,5.048512,25.292149,-1.3694224e+06,5.4540484e+07,-0.003998082,0,0001
1981-09-01 06:00:00,5.03687,25.292734,-1.3700594e+06,5.4549308e+07,-0.0039956965,0,0001
1981-10-01 00:00:00,3.6514716,25.36236,-1.3388181e+06,5.542275e+07,-0.0038352816,0,0001
1981-10-01 06:00:00,3.654038,25.35826,-1.3385556e+06,5.5430092e+07,-0.0038339335,0,0001
1981-11-01 00:00:00,3.9697094,24.853966,-1.3864922e+06,5.4708304e+07,-0.0040413737,0,0001
1981-11-01 06:00:00,3.9712768,24.84984,-1.386882e+06,5.4702436e+07,-0.0040430604,0,0001
1981-12-01 00:00:00,4.157787,24.358995,-1.446825e+06,5.41923e+07,-0.004042693,0,0001
1981-12-01 06:00:00,4.1572475,24.35958,-1.4473288e+06,5.4188012e+07,-0.0040426897,0,0001
1982-01-01 00:00:00,4.09094,24.431408,-1.5265319e+06,5.4532844e+07,-0.003950087,0,0001
1982-01-01 06:00:00,4.090752,24.435587,-1.5271758e+06,5.453565e+07,-0.003949334,0,0001
1982-02-01 00:00:00,4.0676317,24.949577,-1.6560775e+06,5.5677784e+07,-0.0039122147,0,0001
1982-02-01 06:00:00,4.0635233,24.958252,-1.6571255e+06,5.5687068e+07,-0.003911913,0,0001
1982-03-01 00:00:00,3.6074684,25.921188,-1.8424609e+06,5.683332e+07,-0.0038719159,0,0001
1982-03-01 06:00:00,3.6040108,25.92755,-1.8441306e+06,5.684365e+07,-0.0038715554,0,0001
1982-04-01 00:00:00,3.1787226,26.710041,-1.7814095e+06,5.6571064e+07,-0.0037196996,0,0001
1982-04-01 06:00:00,3.1860118,26.712467,-1.7808996e+06,5.656885e+07,-0.0037184649,0,0001
1982-05-01 00:00:00,4.0534115,27.001139,-1.8781326e+06,5.5043372e+07,-0.004205385,0,0001
1982-05-01 06:00:00,4.0720944,26.997269,-1.8789498e+06,5.503055e+07,-0.004209477,0,0001
1982-06-01 00:00:00,6.3700976,26.521145,-1.7099105e+06,5.27987e+07,-0.005038494,0,0001
1982-06-01 06:00:00,6.3721104,26.51534,-1.7085362e+06,5.2780556e+07,-0.0050452338,0,0001
1982-07-01 00:00:00,6.6116214,25.824696,-1.5264602e+06,5.234768e+07,-0.0047901855,0,0001
1982-07-01 06:00:00,6.6109347,25.821394,-1.5249302e+06,5.2344044e+07,-0.004788042,0,0001
1982-08-01 00:00:00,6.5264897,25.415201,-1.3442691e+06,5.29086e+07,-0.004455991,0,0001
1982-08-01 06:00:00,6.5159574,25.414991,-1.3428004e+06,5.2913188e+07,-0.0044532917,0,0001
1982-09-01 00:00:00,5.220454,25.389242,-1.4536661e+06,5.475258e+07,-0.0041170106,0,0001
1982-09-01 06:00:00,5.20699,25.389252,-1.4545675e+06,5.4767536e+07,-0.0041142767,0,0001
1982-10-01 00:00:00,3.6047237,25.39032,-1.4546948e+06,5.5433456e+07,-0.00377587,0,0001
1982-10-01 06:00:00,3.6036944,25.388536,-1.4546959e+06,5.5439052e+07,-0.0037730262,0,0001
