time,oni
1981-01-01,-0.26
1981-02-01,-0.5
1981-03-01,-0.47
1981-04-01,-0.37
1981-05-01,-0.26
1981-06-01,-0.29
1981-07-01,-0.3
1981-08-01,-0.25
1981-09-01,-0.16
1981-10-01,-0.13
1981-11-01,-0.15
1981-12-01,-0.08
1982-01-01,-0.05
1982-02-01,0.07
1982-03-01,0.19
1982-04-01,0.47
1982-05-01,0.66
1982-06-01,0.72
1982-07-01,0.79
1982-08-01,1.07
1982-09-01,1.58
1982-10-01,1.97
1982-11-01,2.18
1982-12-01,2.23
1983-01-01,2.18
1983-02-01,1.92
1983-03-01,1.54
1983-04-01,1.29
1983-05-01,1.06
1983-06-01,0.72
1983-07-01,0.31
1983-08-01,-0.08
1983-09-01,-0.46
1983-10-01,-0.81
1983-11-01,-1.0
1983-12-01,-0.91
1984-01-01,-0.6
1984-02-01,-0.42
1984-03-01,-0.34
1984-04-01,-0.43
1984-05-01,-0.51
1984-06-01,-0.45
1984-07-01,-0.3
1984-08-01,-0.16
1984-09-01,-0.24
1984-10-01,-0.56
1984-11-01,-0.92
1984-12-01,-1.14
1985-01-01,-1.04
1985-02-01,-0.85
1985-03-01,-0.77
1985-04-01,-0.78
1985-05-01,-0.78
1985-06-01,-0.63
1985-07-01,-0.49
1985-08-01,-0.46
1985-09-01,-0.4
1985-10-01,-0.35
1985-11-01,-0.27
1985-12-01,-0.36
1986-01-01,-0.49
1986-02-01,-0.47
1986-03-01,-0.31
1986-04-01,-0.2
1986-05-01,-0.12
1986-06-01,-0.04
1986-07-01,0.22
1986-08-01,0.44
1986-09-01,0.71
1986-10-01,0.94
1986-11-01,1.14
1986-12-01,1.22
1987-01-01,1.23
1987-02-01,1.19
1987-03-01,1.06
1987-04-01,0.95
1987-05-01,0.97
1987-06-01,1.22
1987-07-01,1.51
1987-08-01,1.7
1987-09-01,1.65
1987-10-01,1.48
1987-11-01,1.25
1987-12-01,1.11
1988-01-01,0.81
1988-02-01,0.54
1988-03-01,0.14
1988-04-01,-0.31
1988-05-01,-0.88
1988-06-01,-1.3
1988-07-01,-1.3
1988-08-01,-1.11
1988-09-01,-1.19
1988-10-01,-1.48
1988-11-01,-1.8
1988-12-01,-1.85
1989-01-01,-1.69
1989-02-01,-1.43
1989-03-01,-1.08
1989-04-01,-0.83
1989-05-01,-0.58
1989-06-01,-0.4
1989-07-01,-0.31
1989-08-01,-0.27
1989-09-01,-0.24
1989-10-01,-0.22
1989-11-01,-0.16
1989-12-01,-0.05
1990-01-01,0.14
1990-02-01,0.21
1990-03-01,0.28
1990-04-01,0.29
1990-05-01,0.29
1990-06-01,0.31
1990-07-01,0.33
1990-08-01,0.38
1990-09-01,0.39
1990-10-01,0.35
1990-11-01,0.4
1990-12-01,0.41
1991-01-01,0.41
1991-02-01,0.26
1991-03-01,0.22
1991-04-01,0.26
1991-05-01,0.45
1991-06-01,0.64
1991-07-01,0.73
1991-08-01,0.64
1991-09-01,0.62
1991-10-01,0.79
1991-11-01,1.21
1991-12-01,1.53
1992-01-01,1.71
1992-02-01,1.63
1992-03-01,1.48
1992-04-01,1.29
1992-05-01,1.06
1992-06-01,0.73
1992-07-01,0.37
1992-08-01,0.09
1992-09-01,-0.13
1992-10-01,-0.25
1992-11-01,-0.28
1992-12-01,-0.13
1993-01-01,0.09
1993-02-01,0.3
1993-03-01,0.5
1993-04-01,0.67
1993-05-01,0.7
1993-06-01,0.57
1993-07-01,0.32
1993-08-01,0.25
1993-09-01,0.15
1993-10-01,0.1
1993-11-01,0.04
1993-12-01,0.06
1994-01-01,0.06
1994-02-01,0.07
1994-03-01,0.17
1994-04-01,0.31
1994-05-01,0.42
1994-06-01,0.41
1994-07-01,0.44
1994-08-01,0.43
1994-09-01,0.55
1994-10-01,0.74
1994-11-01,1.01
1994-12-01,1.09
1995-01-01,0.96
1995-02-01,0.72
1995-03-01,0.53
1995-04-01,0.3
1995-05-01,0.14
1995-06-01,-0.03
1995-07-01,-0.24
1995-08-01,-0.54
1995-09-01,-0.81
1995-10-01,-0.97
1995-11-01,-1.0
1995-12-01,-0.98
1996-01-01,-0.9
1996-02-01,-0.75
1996-03-01,-0.59
1996-04-01,-0.39
1996-05-01,-0.31
1996-06-01,-0.3
1996-07-01,-0.27
1996-08-01,-0.32
1996-09-01,-0.35
1996-10-01,-0.4
1996-11-01,-0.45
1996-12-01,-0.49
1997-01-01,-0.5
1997-02-01,-0.36
1997-03-01,-0.1
1997-04-01,0.28
1997-05-01,0.75
1997-06-01,1.22
1997-07-01,1.6
1997-08-01,1.9
1997-09-01,2.14
1997-10-01,2.33
1997-11-01,2.4
1997-12-01,2.39
1998-01-01,2.24
1998-02-01,1.93
1998-03-01,1.44
1998-04-01,0.99
1998-05-01,0.45
1998-06-01,-0.13
1998-07-01,-0.78
1998-08-01,-1.12
1998-09-01,-1.31
1998-10-01,-1.35
1998-11-01,-1.48
1998-12-01,-1.57
1999-01-01,-1.55
1999-02-01,-1.3
1999-03-01,-1.07
1999-04-01,-0.98
1999-05-01,-1.02
1999-06-01,-1.04
